"years","sentences","sentences_full","polarity"
1973," men hver gang har det øgede pres også givet anledning til større sammenhold og forståelse for hinandens problemer"," men hver gang har det øgede pres også givet anledning til større sammenhold og forståelse for hinandens problemer",1.11111111111111
1973," lad os vise os selv og verden at de gode tider vi indtil nu har oplevet ikke har taget vore gode egenskaber fra os men at vi som før er i stand tid til at møde modgang med fortrøstning og godt humør"," lad os vise os selv og verden, at de gode tider, vi indtil nu har oplevet, ikke har taget vore gode egenskaber fra os, men at vi som før er i stand tid til at møde modgang med fortrøstning og godt humør",2.40463917525773
1973," de vestlige lande stilles i øjeblikket over for en udfordring som vil sætte vor kulturkreds på en alvorlig prøve"," de vestlige lande stilles i øjeblikket over for en udfordring som vil sætte vor kulturkreds på en alvorlig prøve",-1
1973," vi vil blive nødt til at gennemtænkte og revidere mange af vore opfattelser men jeg er forvisset om at den vestlige verden ikke alene har de materielle ressourcer men også de åndelige kræfter som skal til for at bære vor kultur videre"," vi vil blive nødt til at gennemtænkte og revidere mange af vore opfattelser, men jeg er forvisset om, at den vestlige verden ikke alene har de materielle ressourcer, men også de åndelige kræfter, som skal til for at bære vor kultur videre",1.56293706293706
1973," de seneste begivenheder har på ny understreget at vor klode er blevet mindre og at vi alle er direkte berørt af begivenheder i lande som før var fjerne"," de seneste begivenheder har på ny understreget, at vor klode er blevet mindre, og at vi alle er direkte berørt af begivenheder i lande, som før var fjerne",-1
1973," erkendelsen heraf gør det nødvendigt at vi fortsætter med at deltage i det omfattende internationale samarbejde"," erkendelsen heraf gør det nødvendigt, at vi fortsætter med at deltage i det omfattende internationale samarbejde",1
1973," verdensproblemerne kan ikke løses medmindre landene kan mødes udveksle synspunkter og træffe beslutninger"," verdensproblemerne kan ikke løses, medmindre landene kan mødes, udveksle synspunkter og træffe beslutninger",0
1973," i det forløbne år har prins henrik og jeg haft lejlighed ril at besøge sverige norge island og finland"," i det forløbne år har prins henrik og jeg haft lejlighed ril at besøge sverige, norge, island og finland",1
1973," den venlige modtagelse vi fik viste hvor nær de nordiske lande står hinanden og bekræftede at den nordiske kultur er et stærkt og særpræget islæt i det brogede verdensbillede"," den venlige modtagelse, vi fik, viste, hvor nær de nordiske lande står hinanden, og bekræftede, at den nordiske kultur er et stærkt og særpræget islæt i det brogede verdensbillede",1
1973," vore rejser har også ført min familie og mig rundt i danmark og til færøerne"," vore rejser har også ført min familie og mig rundt i danmark og til færøerne",0
1973," det har været os en stor glæde at genopleve de forskellige egne og mærke den venlighed og hengivenhed som mødte os overalt"," det har været os en stor glæde at genopleve de forskellige egne og mærke den venlighed og hengivenhed, som mødte os overalt",2.71428571428571
1973," det har rørt prins henrik og mig at opleve hvor mange der tager del i vor families sorger og glæder og vi takker for alt hvad vi og vore børn har mødt af hjertelighed og varme i årets løb og for den sympati og medfølelse der har omgivet min moder dronning ingrid og mig selv ved min morfar kong gustav 6"," det har rørt prins henrik og mig at opleve, hvor mange der tager del i vor families sorger og glæder, og vi takker for alt, hvad vi og vore børn har mødt af hjertelighed og varme i årets løb, og for den sympati og medfølelse, der har omgivet min moder, dronning ingrid, og mig selv ved min morfar, kong gustav 6",1.9963503649635
1973," adolfs død"," adolfs død",-1.83333333333333
1973," på årets sidste dag bringer jeg en varm hilsen med mine bedste ønsker til færøerne og grønland"," på årets sidste dag bringer jeg en varm hilsen med mine bedste ønsker til færøerne og grønland",1
1973," måtte de vanskelige tider som nu går over verden ikke i alvorlig grad sinke opbygningen af det færøske og det grønlandske samfund"," måtte de vanskelige tider, som nu går over verden, ikke i alvorlig grad sinke opbygningen af det færøske og det grønlandske samfund",-1.5
1973," jeg retter en tak for trofast gerning til vort forsvar og politi og til alle som rundt omkring i landet og i det fremmede fjernt såvel som nær gør en indsats for danmark og er med til at hæge om danmarks navn"," jeg retter en tak for trofast gerning til vort forsvar og politi og til alle, som rundt omkring i landet og i det fremmede, fjernt såvel som nær, gør en indsats for danmark og er med til at hæge om danmarks navn",1.61855670103093
1973," få timer skiller os nu fra det ny år"," få timer skiller os nu fra det ny år",0
1973," hvad det vil bringe ved vi ikke"," hvad det vil bringe, ved vi ikke",0
1973," foran os ligger vinteren det kan føles både mørkt og koldt og foråret er måske sværere at øjne end ofte før"," foran os ligger vinteren, det kan føles både mørkt og koldt, og foråret er måske sværere at øjne end ofte før",-1
1973," lad os ikke tabe modet men fortrøstningsfuldt ønske hinanden et glædeligt nytår"," lad os ikke tabe modet, men fortrøstningsfuldt ønske hinanden et glædeligt nytår",0.190045248868778
1973," er det end koldt derude skal varmen i vore hjerter ikke mangle"," er det end koldt derude, skal varmen i vore hjerter ikke mangle",0
1973," mine tanker går også til de svageste i samfundet og til dem hvem store sorger har hjemsøgt"," mine tanker går også til de svageste i samfundet og til dem, hvem store sorger har hjemsøgt",0
1973," må guds velsignelse være over dem og over os alle"," må guds velsignelse være over dem og over os alle",3
1973," gud bevare danmark"," gud bevare danmark",1.56637168141593
1974,"da jeg nytårsaften for et år siden talte herfra var det med en følelse af at den vestlige verden stod over for et vendepunkt i historien","da jeg nytårsaften for et år siden talte herfra, var det med en følelse af, at den vestlige verden stod over for et vendepunkt i historien",1
1974," jeg tror at denne følelse var rigtig"," jeg tror, at denne følelse var rigtig",1.69230769230769
1974," vi har i året 1974 om end nødtvungent måttet lære at acceptere at energi kan være en mangelvare"," vi har i året 1974 om end nødtvungent måttet lære at acceptere, at energi kan være en mangelvare",0.503875968992248
1974," vi har erfaret hvor følsomt også det danske samfund er over for svingninger i den internationale konjunkturudvikling og mange hjem må nu leve med i arbejdsløshed eller i frygten herfor"," vi har erfaret, hvor følsomt også det danske samfund er over for svingninger i den internationale konjunkturudvikling, og mange hjem må nu leve med i arbejdsløshed eller i frygten herfor",2.15588235294118
1974," ude fra den store verden har vi gennem nyhedsmidlerne fået hungersnødens frygtelige ansigt ind i vore stuer og vi har måttet se hvor lidt alverdens lande har formået at stille op"," ude fra den store verden har vi gennem nyhedsmidlerne fået hungersnødens frygtelige ansigt ind i vore stuer, og vi har måttet se, hvor lidt alverdens lande har formået at stille op",0
1974," vi har måttet opleve vold og blind terror gribe om sig i uhyggelig grad"," vi har måttet opleve vold og blind terror gribe om sig i uhyggelig grad",-0.548223350253807
1974," bag denne utryghed ligger frygten og faren for at det internationale økonomiske system ikke vil kunne bære de belastninger som det udsættes for men at det bryder sammen med heraf følgende uoverskuelige konsekvenser"," bag denne utryghed ligger frygten og faren for, at det internationale økonomiske system ikke vil kunne bære de belastninger, som det udsættes for, men at det bryder sammen med heraf følgende uoverskuelige konsekvenser",1.65405405405405
1974," i lyset af det gamle års mange nye erfaringer er vi i utallige områder i stort som i småt blevet tvunget til at tage accepterede forestillinger op til revision"," i lyset af det gamle års mange nye erfaringer er vi i utallige områder, i stort som i småt, blevet tvunget til at tage accepterede forestillinger op til revision",0
1974," vil vi opnå noget ad denne vej er det med os selv vi må begynde vi må hver især tage vore standpunkter op til overvejelse"," vil vi opnå noget ad denne vej, er det med os selv, vi må begynde, vi må hver især tage vore standpunkter op til overvejelse",0.846153846153846
1974," den lyse fortrøstning med hvilken vi alle siden anden verdenskrig har set fremtiden i møde er nu blevet vanskeligere at opretholde"," den lyse fortrøstning, med hvilken vi alle siden anden verdenskrig har set fremtiden i møde, er nu blevet vanskeligere at opretholde",1.07476635514019
1974," den menneskelige egoisme har ikke mindst i international sammenhæng vist sig gang på gang og det ændrede økonomiske klima har ikke gjort sagen bedre men synes fremskridtet end på visse områder at være sinket kan vi stadig håbe på et samhørighedsforhold mellem landene"," den menneskelige egoisme har ikke mindst i international sammenhæng vist sig gang på gang, og det ændrede økonomiske klima har ikke gjort sagen bedre, men synes fremskridtet end på visse områder at være sinket, kan vi stadig håbe på et samhørighedsforhold mellem landene",1.96413934426229
1974," intet land kan isoleret klare problemerne"," intet land kan isoleret klare problemerne",1.5
1974," det er også derfor vi trods skuffelser må blive ved med at lade vor røst lyde i de forenede nationer i de europæiske fællesskaber i nato i nordisk råd og i alle de andre organer for internationalt samarbejde vi er parthavere i"," det er også derfor, vi trods skuffelser må blive ved med at lade vor røst lyde i de forenede nationer, i de europæiske fællesskaber, i nato, i nordisk råd og i alle de andre organer for internationalt samarbejde vi er parthavere i",-1.5
1974," fn har besluttet at gøre 1975 til det internationale kvindeår for på den måde at samle opmærksomheden om kvindernes stilling"," fn har besluttet at gøre 1975 til det internationale kvindeår for på den måde at samle opmærksomheden om kvindernes stilling",0
1974," det er mit ønske at dette år må bidrage til at kvinderne alle vegne accepteres og accepterer sig selv såvel i deres gerning i hjem og familie som i alle de mange andre opgaver samfundet stiller sine medborgere"," det er mit ønske, at dette år må bidrage til, at kvinderne alle vegne accepteres og accepterer sig selv såvel i deres gerning i hjem og familie som i alle de mange andre opgaver, samfundet stiller sine medborgere",1.39542483660131
1974," vi er et gammelt land med traditioner for åbenhed og fordragelighed og evne til samarbejde"," vi er et gammelt land med traditioner for åbenhed og fordragelighed og evne til samarbejde",1.81818181818182
1974," lad os derfor ikke i en vanskelig tid glemme hvor meget vi har at være taknemmelige for som nation og som mennesker"," lad os derfor ikke i en vanskelig tid glemme, hvor meget vi har at være taknemmelige for som nation og som mennesker",-1.5990099009901
1974," vi lever i fred bag vore grænser uden at være plaget af stridigheder med vore naboer"," vi lever i fred bag vore grænser uden at være plaget af stridigheder med vore naboer",1.75
1974," vi har set med verdens øjne en høj levestandard og hver enkelt har mulighed for at give sine børn det væsentligste af alt en opvækst i tryghed og kærlighed"," vi har set med verdens øjne en høj levestandard, og hver enkelt har mulighed for at give sine børn det væsentligste af alt en opvækst i tryghed og kærlighed",1.46666666666667
1974," vi kan glæde os over det daglige samvær med familie og venner og se vore børn trives og vokse"," vi kan glæde os over det daglige samvær med familie og venner og se vore børn trives og vokse",2.10188679245283
1974," under prins henriks og mine rejser rundt i danmark har vi glædet os over al den venlighed hvormed vi og vore børn overalt er blevet modtaget og jeg benytter denne lejlighed til at udtale vor hjertelige tak også for de mange hilsener vi året igennem har modtaget fra alle egne af landet"," under prins henriks og mine rejser rundt i danmark har vi glædet os over al den venlighed, hvormed vi og vore børn overalt er blevet modtaget, og jeg benytter denne lejlighed til at udtale vor hjertelige tak, også for de mange hilsener, vi året igennem har modtaget fra alle egne af landet",1.66666666666667
1974," også til færøerne og grønland går min hilsen og min tak for det gamle år"," også til færøerne og grønland går min hilsen og min tak for det gamle år",1.34782608695652
1974," både prins henrik og jeg glæder os til at gense grønland til sommer vi ser frem til at få indblik i alt det nye der sker og til igen at opleve det dejlige land"," både prins henrik og jeg glæder os til at gense grønland til sommer, vi ser frem til at få indblik i alt det nye, der sker, og til igen at opleve det dejlige land",1
1974," til vort forsvar og til politiet bringer jeg en tak for god tjeneste året igennem både herhjemme og i udlandet ligesom mine nytårshilsener også gælder alle danske danske der har deres liv og gerning i det fremmede og alle hvis indsats stor eller lille er med til at hævde danmarks navn"," til vort forsvar og til politiet bringer jeg en tak for god tjeneste året igennem både herhjemme og i udlandet, ligesom mine nytårshilsener også gælder alle danske, danske der har deres liv og gerning i det fremmede, og alle, hvis indsats stor eller lille er med til at hævde danmarks navn",1.80775577557756
1974," mine tanker går i år særligt til alle dem der må føle krisen på deres egen krop og i deres eget hjem og for hvem julen og nytåret må synes særlig tunge at komme igennem under arbejdsløshedens tryk"," mine tanker går i år særligt til alle dem, der må føle krisen på deres egen krop og i deres eget hjem, og for hvem julen og nytåret må synes særlig tunge at komme igennem under arbejdsløshedens tryk",0
1974," tiderne er vanskelige og alvoren må præge os mere ved dette årsskifte end mange gange tidligere"," tiderne er vanskelige, og alvoren må præge os mere ved dette årsskifte end mange gange tidligere",0
1974," lad os dog ikke miste modet"," lad os dog ikke miste modet",-1
1974," lad os gå ind i det ny år med det smil og den venlighed uden hvilken de mørke dage bliver mørkere og de lyse mister deres glans"," lad os gå ind i det ny år med det smil og den venlighed, uden hvilken de mørke dage bliver mørkere, og de lyse mister deres glans",0.493939393939394
1974," min nytårshilsen vil jeg lade munde ud i ordene fra kingos salme giv danmarks rige fryd og fred lad ret og skel alt blive ved og dagligt blomster bære"," min nytårshilsen vil jeg lade munde ud i ordene fra kingos salme giv danmarks rige fryd og fred, lad ret og skel alt blive ved og dagligt blomster bære",2.16161616161616
1974," gud give os alle et glædeligt nytår"," gud give os alle et glædeligt nytår",1.30769230769231
1974," gud bevare danmark"," gud bevare danmark",1.56637168141593
1975,"ved et årsskifte løber tankerne tilbage over de tolv måneder der er gået og alle må vi tænke på hvad der er hændt os selv vore nærmeste vort land os alle sammen","ved et årsskifte løber tankerne tilbage over de tolv måneder, der er gået, og alle må vi tænke på, hvad der er hændt os selv, vore nærmeste, vort land os alle sammen",0
1975," nej det har ikke været et af disse lyse problemløse år hvor vi tilfredse og glade er parate til at tage fat på endnu et år med lykke og fremgang"," nej, det har ikke været et af disse lyse problemløse år, hvor vi tilfredse og glade er parate til at tage fat på endnu et år med lykke og fremgang",0.421686746987952
1975," arbejdsløshed og økonomisk usikkerhed er tungt at bære ikke blot for den der rammes direkte men for alle i landet og verden omkring os er heller ikke det paradis vi måske som børn troede den var eller kunne blive"," arbejdsløshed og økonomisk usikkerhed er tungt at bære, ikke blot for den, der rammes direkte, men for alle i landet og verden omkring os er heller ikke det paradis, vi måske som børn troede den var eller kunne blive",1.16666666666667
1975," den skal have den onde lykke"," den skal have den onde lykke",-2.53846153846154
1975," den gode lykke har vi få hedder det i en gammel folkevise"," den gode lykke har vi få , hedder det i en gammel folkevise",1.24281150159744
1975," det lyder tungt og barsk i vore ører fordi vi nu udelukkende bruger ordet lykke om noget glædeligt mens de gamle vidste at lykken havde to ansigter at der også var en ond lykke"," det lyder tungt og barsk i vore ører, fordi vi nu udelukkende bruger ordet lykke om noget glædeligt, mens de gamle vidste, at lykken havde to ansigter at der også var en ond lykke",-1.95
1975," den gode lykke har vi i den grad vænnet os til at vi har taget den for givet"," den gode lykke har vi i den grad vænnet os til, at vi har taget den for givet",2.65625
1975," nu har den onde lykke vist sig og det må bæres ikke i stum resignation men heller ikke i knarvorn fornærmethed hårde tider er en alt for alvorlig sag til at vi kan spilde vore kræfter mod den slags"," nu har den onde lykke vist sig, og det må bæres, ikke i stum resignation, men heller ikke i knarvorn fornærmethed hårde tider er en alt for alvorlig sag til, at vi kan spilde vore kræfter mod den slags",-1.62166962699822
1975," det er en udbredt følelse nu for tiden at der er noget i vejen med vort livssyn at vi må prøve at tage fat langt dybere end vi hidtil har været vant til"," det er en udbredt følelse nu for tiden, at der er noget i vejen med vort livssyn at vi må prøve at tage fat langt dybere, end vi hidtil har været vant til",0
1975," her tror jeg de unge ser klarere har en sikrere intuition når de så ofte peger på vor ensidige optagethed af de materielle goder og på så mange måder prøver at gå andre veje"," her tror jeg, de unge ser klarere har en sikrere intuition, når de så ofte peger på vor ensidige optagethed af de materielle goder og på så mange måder prøver at gå andre veje",1
1975," om midlerne og vejene vil jeg slet ikke tale her gives ingen absolutte svar eller entydige løsninger"," om midlerne og vejene vil jeg slet ikke tale, her gives ingen absolutte svar eller entydige løsninger",-2.5
1975," i det gamle år har vi oplevet et kalejdoskopisk opbud af begivenheder i verden omkring os glædelige sørgelige foruroligende opmuntrende rædselsvækkende eller hjertevarmende"," i det gamle år har vi oplevet et kalejdoskopisk opbud af begivenheder i verden omkring os glædelige sørgelige, foruroligende opmuntrende, rædselsvækkende eller hjertevarmende",-3
1975," der appelleres i et væk til vore følelser såvel som til vor fornuft og vi fristes til enten helt at lade os rive med eller til ængsteligt at lukke af for alle disse indtryk"," der appelleres i et væk til vore følelser såvel som til vor fornuft, og vi fristes til enten helt at lade os rive med eller til ængsteligt at lukke af for alle disse indtryk",-0.503896103896104
1975," de unge er på mange måder de mest åbne hvad forbindelserne ude i verden angår"," de unge er på mange måder de mest åbne, hvad forbindelserne ude i verden angår",0
1975," de rejser de lærer fremmede skikke at kende som de fører med sig hjem og mange kulturelle strømninger kommer ind i danmark ved de unges indsats"," de rejser, de lærer fremmede skikke at kende, som de fører med sig hjem, og mange kulturelle strømninger kommer ind i danmark ved de unges indsats",1.64
1975," men det er også blandt de unge man ofte møder den største skepsis over for det etablerede officielle internationale samarbejde"," men det er også blandt de unge, man ofte møder den største skepsis over for det etablerede officielle internationale samarbejde",-2
1975," i årets løb er der dog sket ting som vi håber vil være indledningen til en positiv udvikling i det internationale samfund"," i årets løb er der dog sket ting, som vi håber vil være indledningen til en positiv udvikling i det internationale samfund",1.65405405405405
1975," den europæiske sikkerhedskonference har således i enighed fastlagt en række vigtige principper for staters og menneskers adfærd"," den europæiske sikkerhedskonference har således i enighed fastlagt en række vigtige principper for staters og menneskers adfærd",-0.64963503649635
1975," det har bragt forventning til mange familier om at kunne genforenes og samtidig er der skabt håb og mulighed for en friere udveksling af tanker og ideer over landegrænserne"," det har bragt forventning til mange familier om at kunne genforenes, og samtidig er der skabt håb og mulighed for en friere udveksling af tanker og ideer over landegrænserne",1.76470588235294
1975," det internationale økonomiske samarbejde har derimod haft vanskeligheder ikke mindst med arbejdsløshedsproblemerne"," det internationale økonomiske samarbejde har derimod haft vanskeligheder, ikke mindst med arbejdsløshedsproblemerne",0
1975," det er nødvendigt at holde den nationale egoisme i tømme og de førende lande må i fællesskab med os andre søge at finde en vej ud af krisen"," det er nødvendigt at holde den nationale egoisme i tømme, og de førende lande må i fællesskab med os andre søge at finde en vej ud af krisen",-1.8
