"years","sentences","sentences_full","polarity"
2010," we will find a way out of the present economic crisis in the short or the long term but we must find a way out of it with our decency intact and without jeopardising our community"," we will find a way out of the present economic crisis in the short or the long term but we must find a way out of it with our decency intact and without jeopardising our community",-0.5
2010," in the course of the last few generations society has developed in such a way that we can live more and more safely both financially and socially"," in the course of the last few generations, society has developed in such a way that we can live more and more safely, both financially and socially",1
2010," we have got used to being able to pick and choose quite freely in big and small matters"," we have got used to being able to pick and choose quite freely in big and small matters",1
2010," our circumstances are so good now that we have almost forgotten that our decisions also have consequences and that we cannot opt into or out of all life s conditions"," our circumstances are so good now that we have almost forgotten that our decisions also have consequences and that we cannot opt into or out of all life s conditions",3
2010," as human beings we are mutually dependent on each other"," as human beings we are mutually dependent on each other",0
2010," it is true today as it was yesterday and at all times"," it is true today as it was yesterday and at all times",2
2010," previously it was perhaps more obvious when people lived in small village communities where many tasks had to be performed jointly and where several generations often lived under the same roof and all had their tasks to perform for each other"," previously, it was perhaps more obvious when people lived in small village communities where many tasks had to be performed jointly, and where several generations often lived under the same roof, and all had their tasks to perform for each other",0
2010," it was a relationship of interdependence that was obvious to everybody"," it was a relationship of interdependence that was obvious to everybody",0
2010," today we have left it to society to deal with many of the obligations that were once each individual s task"," today, we have left it to society to deal with many of the obligations that were once each individual s task",0
2010," often it goes so far that we completely forget or overlook the fact that our society is actually all of us and that it cannot work at all if we do not each of us make an effort and feel a commitment to our loved ones as well as to those we do not come across on a daily basis"," often it goes so far that we completely forget or overlook the fact that our society is actually all of us, and that it cannot work at all if we do not each of us make an effort and feel a commitment to our loved ones as well as to those we do not come across on a daily basis",1.33333333333333
2010," we have achieved a freedom to shape our own lives to an extent that former generations never knew and we should appreciate it"," we have achieved a freedom to shape our own lives to an extent that former generations never knew, and we should appreciate it",2
2010," but we should also remember that no one is self sufficient"," but we should also remember that no one is self sufficient",-1
2010," therefore we must take care of this society which we know as a safe framework for the individual s activities and we must keep eyes and ears and hearts open to our fellow men"," therefore, we must take care of this society, which we know as a safe framework for the individual s activities, and we must keep eyes and ears and hearts open to our fellow men",1.5
2010," on the last evening of the year when so many gather with family members and friends we should not forget those who must celebrate the newyear far from denmark"," on the last evening of the year when so many gather with family members and friends, we should not forget those who must celebrate the new year far from denmark",1
2010," my thoughts go in particular to our soldiers in afghanistan"," my thoughts go in particular to our soldiers in afghanistan",0
2010," they are on a mission that is extremely difficult and dangerous but they perform it in a targeted and conscientious manner and with great courage"," they are on a mission that is extremely difficult and dangerous, but they perform it in a targeted and conscientious manner and with great courage",1.33333333333333
2010," both they and their relatives at home will be in our thoughts tonight"," both they and their relatives at home will be in our thoughts tonight",0
2010," sitting at home alone can be hard when the person one loves is far way in dangerous surroundings"," sitting at home alone can be hard when the person one loves is far way in dangerous surroundings",-1.5
2010," i know from the crown prince who visited our soldiers just before christmas that they approach their tasks in a spirit of seriousness and confidence and they know that they can carry them out"," i know from the crown prince, who visited our soldiers just before christmas, that they approach their tasks in a spirit of seriousness and confidence, and they know that they can carry them out",1.5
2010," nevertheless the price of our effort in afghanistan has been high several young danes have lost their lives also this year"," nevertheless, the price of our effort in afghanistan has been high several young danes have lost their lives, also this year",0
2010," let us remember them tonight and think of their relatives friends and fellow soldiers who are now left with a great sense of loss"," let us remember them tonight and think of their relatives, friends and fellow soldiers who are now left with a great sense of loss",0
2010," some of our soldiers have returned badly wounded and others are mentally scarred by their experiences"," some of our soldiers have returned badly wounded and others are mentally scarred by their experiences",-3
2010," it applies to all of them that they deserve all our care and recognition"," it applies to all of them that they deserve all our care and recognition",2
2010," in the autumn i had the opportunity to meet some of our wounded soldiers undergoing rehabilitation at the copenhagen university hospital"," in the autumn, i had the opportunity to meet some of our wounded soldiers undergoing rehabilitation at the copenhagen university hospital",2
2010," they all show a love of life and an incredible determination to overcome their disabilities which made a great impression on me and which can only command admiration"," they all show a love of life and an incredible determination to overcome their disabilities, which made a great impression on me and which can only command admiration",3
2010," i send my newyear greetings to all danish men and women working for our security and safety in the armed forces the emergency management and the police"," i send my new year greetings to all danish men and women working for our security and safety in the armed forces, the emergency management and the police",0.166666666666667
2010," happy newyear to all of you at home and abroad wherever you are"," happy new year to all of you at home and abroad, wherever you are",3
2010," as always at newyear my thoughts go to the danes who live south of the border"," as always at new year, my thoughts go to the danes who live south of the border",0
2010," they are part of our danish community"," they are part of our danish community",0
2010," that tie has never been severed"," that tie has never been severed",0
2010," we are proud of that"," we are proud of that",2
2010," every year it is a great pleasure for the prince consort and me to visit various parts of the country"," every year it is a great pleasure for the prince consort and me to visit various parts of the country",3
2010," this year we also visited the faroe islands and we are planning a visit to greenland on board the dannebrog in the summer"," this year we also visited the faroe islands and we are planning a visit to greenland on board the dannebrog in the summer",0
2010," we are looking very much forward to that and when i send my newyear greetings to the faroe islands and greenland here tonight i also wish to say thank you for the confidence shown me and my family both in greenland and in the faroe islands and for the warm ties which i feel bind us together"," we are looking very much forward to that, and when i send my new year greetings to the faroe islands and greenland here tonight, i also wish to say thank you for the confidence shown me and my family both in greenland and in the faroe islands and for the warm ties which i feel bind us together",1.5
2010," 2010 has been a good year with many joys for my family and me"," 2010 has been a good year with many joys for my family and me",3
2010," we are now looking forward to the newyear with great expectations especially to the addition to the family which is going to take place in january"," we are now looking forward to the new year with great expectations, especially to the addition to the family, which is going to take place in january",3
2010," it is a great source of joy and happiness to us all to feel the warm interest we encounter wherever we go"," it is a great source of joy and happiness to us all to feel the warm interest we encounter wherever we go",2.2
2010," in good times we must remember that good fortune is not a matter of course and that there are always some for whom everyday life is hard"," in good times we must remember that good fortune is not a matter of course, and that there are always some for whom everyday life is hard",1.5
2010," in difficult times we must not lose heart and a smile helps us get through the days when life seems dreary"," in difficult times, we must not lose heart, and a smile helps us get through the days when life seems dreary",0.25
2010," so let us face the newyear with confidence and let us trust each other in big and small matters"," so let us face the new year with confidence, and let us trust each other in big and small matters",1.25
2010," this will be my wish for the year 2011"," this will be my wish for the year 2011",1
2010," god save denmark"," god save denmark",1.5
2012,"it is newyear's eve","it is new year's eve",0
2012," in a few hours the copenhagen town hall bells will toll"," in a few hours the copenhagen town hall bells will toll",0
2012," the newyear 2013 is here"," the new year 2013 is here",0
2012," of this we can be certain and we look forward to it in hope and anticipation but we cannot predict what it will bring us our society or denmark"," of this we can be certain, and we look forward to it in hope and anticipation, but we cannot predict what it will bring us, our society, or denmark",1.33333333333333
2012," we try to predict we make estimates we do our best not to be taken by surprise by the course of events"," we try to predict, we make estimates, we do our best not to be taken by surprise by the course of events",3
2012," the newyear will always be unknown territory"," the new year will always be unknown territory",0
2012," therefore it is not only a matter of what will happen but a question of how we cope with it"," therefore it is not only a matter of what will happen, but a question of how we cope with it",1
2012," we danes have always regarded ourselves as hard working and enterprising"," we danes have always regarded ourselves as hard working and enterprising",-1
2012," the danish society did not evolve of itself"," the danish society did not evolve of itself",0
2012," our society is a result of the efforts we have made through the ages to shape the future and to ensure progress capable tradesmen have been selling danish goods to foreign countries"," our society is a result of the efforts we have made through the ages to shape the future and to ensure progress capable tradesmen have been selling danish goods to foreign countries",1.33333333333333
2012," fearless seamen have sailed all over the world"," fearless seamen have sailed all over the world",2
2012," persistent farmers have reclaimed the moors of jutland"," persistent farmers have reclaimed the moors of jutland",0
2012," industrious workers and craftsmen have played their part for denmark to become what it is today"," industrious workers and craftsmen have played their part for denmark to become what it is today",0
2012," that is how we have jointly developed our society and that is how we would like it to continue"," that is how we have jointly developed our society and that is how we would like it to continue",2
2012," in times of crisis difficulties may seem enormous and obstacles insurmountable impossible to overcome"," in times of crisis, difficulties may seem enormous and obstacles insurmountable, impossible to overcome",-2.5
2012," therefore the outlook for tomorrow may seem grim for those on the sidelines if one is left out while the wheels are turning and one is unemployed or in fear of becoming so"," therefore the outlook for tomorrow may seem grim for those on the sidelines, if one is left out, while the wheels are turning, and one is unemployed or in fear of becoming so",-2
2012," today our society contributes greatly to solving these problems"," today, our society contributes greatly to solving these problems",-0.5
2012," we must be careful however not always to leave everything to society alone to straighten things out"," we must be careful, however, not always to leave everything to society alone to straighten things out",-0.333333333333333
2012," we must begin with ourselves with those close to us and with those we encounter along the way"," we must begin with ourselves, with those close to us and with those we encounter along the way",0
2012," each one of us can help so much with an encouraging remark a helping hand respect and consideration for the other person"," each one of us can help so much with an encouraging remark, a helping hand, respect and consideration for the other person",2
2012," it has always been one of our strengths here in denmark that we know each other inside and out and that even our geographical distances are short"," it has always been one of our strengths here in denmark that we know each other inside and out and that even our geographical distances are short",0
2012," the crisis in which our world finds itself today and which is also felt in denmark should call for all our creativity and enterprise to the benefit of everyone and to all for the future of our country"," the crisis in which our world finds itself today, and which is also felt in denmark, should call for all our creativity and enterprise to the benefit of everyone and to all for the future of our country",-0.5
2012," in difficult times we should not only be aware of outside factors"," in difficult times we should not only be aware of outside factors",-1
2012," we should also keep in mind how we personally react to each other and to ourselves"," we should also keep in mind how we personally react to each other and to ourselves",0
2012," the current tendency is to imagine the perfect life with spouse children an inspiring job exciting hobbies and a youthful appearance irrespective of age"," the current tendency is to imagine the perfect life with spouse, children, an inspiring job, exciting hobbies, and a youthful appearance irrespective of age",2.75
2012," who could hope to live up to all that why should we sooner or later we may all come up against hardship"," who could hope to live up to all that why should we sooner or later we may all come up against hardship",0
2012," we shall all break our necks in a crisis if only the perfect and superficial life is good enough to me it seems that young people especially are vulnerable"," we shall all break our necks in a crisis, if only the perfect and superficial life is good enough to me, it seems that young people especially are vulnerable",0.25
2012," the modern means of communication like the internet and facebook offers fantastic opportunities but can be dangerous too"," the modern means of communication like the internet and facebook offers fantastic opportunities, but can be dangerous too",2.66666666666667
2012," the very young can so easily become addicted that they practically live in cyberspace so that life is lived in a parallel universe in a display window in which appearances are more important than essence"," the very young can so easily become addicted, that they practically live in cyberspace, so that life is lived in a parallel universe in a display window, in which appearances are more important than essence",2
2012," but the young generation must strive to be themselves not only as a group but also as individuals"," but the young generation must strive to be themselves, not only as a group, but also as individuals",0
2012," it is our duty to help them along not by paving their way but by instilling them with confidence so that they can manage their own lives"," it is our duty to help them along not by paving their way, but by instilling them with confidence, so that they can manage their own lives",2
2012," tomorrow on january 1st it is 40 years ago that denmark joined the european union"," tomorrow, on january 1st, it is 40 years ago that denmark joined the european union",0
2012," the european union was established on the grounds of a europe in ruins after the second world war"," the european union was established on the grounds of a europe in ruins after the second world war",-2
2012," it was created to recognize the need for rebuilding and cooperation across the borders"," it was created to recognize the need for rebuilding and cooperation across the borders",0
2012," through our entry we manifested our already existing conditions both economically and geographically that we are a part of the continent of europe that our culture our history our everyday life are influenced by our being a part of europe"," through our entry we manifested our already existing conditions, both economically and geographically that we are a part of the continent of europe, that our culture, our history, our everyday life are influenced by our being a part of europe",0
2012," it was a big step for us and it did not come about without being questioned but it remains a fact that our continent via the european union has enjoyed a blossoming which everybody has benefited from and that we have experienced increasing peace after centuries of war unrest and mutual distrust"," it was a big step for us and it did not come about without being questioned, but it remains a fact that our continent via the european union has enjoyed a blossoming, which everybody has benefited from, and that we have experienced increasing peace after centuries of war, unrest and mutual distrust",-0.5
2012," we must cherish these benefits"," we must cherish these benefits",2
2012," during the autumn it was a pleasure for me to make a short visit to greenland on the occasion of the merging of the island command faroes and the island command greenland into the new arctic command with headquarters in nuuk"," during the autumn it was a pleasure for me to make a short visit to greenland, on the occasion of the merging of the island command faroes and the island command greenland into the new arctic command with headquarters in nuuk",3
2012," the new command is testament to our response to the new challenges and possibilities brought about by the developments in the arctic"," the new command is testament to our response to the new challenges and possibilities, brought about by the developments in the arctic",0
2012," greenland especially is facing decisions of great importance to the development of its society"," greenland especially is facing decisions of great importance to the development of its society",2.5
2012," this is something we must all be aware of in the north and in the south"," this is something we must all be aware of in the north and in the south",0
2012," certainly thousands of miles lie between denmark greenland and the faroe islands but in the unity of the realm our mutual connection and common history manifest themselves"," certainly, thousands of miles lie between denmark, greenland and the faroe islands, but in the unity of the realm our mutual connection and common history manifest themselves",0
2012," my family and i have always felt a strong connection to both greenland and the faroe islands"," my family and i have always felt a strong connection to both greenland and the faroe islands",2
2012," with these words i send my warmest newyear wishes and greetings to everyone in greenland and to everyone in the faroe islands"," with these words i send my warmest new year wishes and greetings to everyone in greenland and to everyone in the faroe islands",1.25
2012," i also send my warm newyear greeting to the danish minority in south schleswig"," i also send my warm new year greeting to the danish minority in south schleswig",1
2012," here the danish spirit lives on"," here the danish spirit lives on",1
2012," it is deeply rooted in old traditions but clearly visible also in our time"," it is deeply rooted in old traditions, but clearly visible also in our time",1
2012," the fact that this danish spirit is permitted to blossom south of the border i see as a sign of friendship respect and good neighbourliness between danes and germans"," the fact that this danish spirit is permitted to blossom south of the border, i see as a sign of friendship, respect and good neighbourliness between danes and germans",2
2012," i extend my greeting and good wishes to everyone celebrating newyear far from denmark"," i extend my greeting and good wishes to everyone celebrating new year far from denmark",1.5
2012," my greeting goes especially to our soldiers and other deployed personnel in dangerous outposts"," my greeting goes especially to our soldiers and other deployed personnel in dangerous outposts",1
2012," their great and brave contribution does denmark credit"," their great and brave contribution does denmark credit",2.5
2012," i wish them and their families a happy newyear"," i wish them and their families a happy new year",2
2012," may they all come home safely"," may they all come home safely",1
2012," tonight my thoughts also go out to our veterans and their families"," tonight, my thoughts also go out to our veterans and their families",0
2012," to some of them their deployment is not a finished chapter because they and their families must battle with the consequences of what they have been through"," to some of them, their deployment is not a finished chapter, because they and their families must battle with the consequences of what they have been through",-1
2012," may the newyear bring them renewed courage and may we all take part in securing their future also"," may the new year bring them renewed courage and may we all take part in securing their future also",2
2012," a society like ours would not function if it were not for those who even on newyear s eve stay at their posts to ensure safety for us all"," a society like ours would not function, if it were not for those, who, even on new year s eve, stay at their posts to ensure safety for us all",1.33333333333333
2012," i wish each and every one of them a happy newyear and thank them for their efforts"," i wish each and every one of them a happy new year and thank them for their efforts",2
2012," on newyear s eve it is customary to gather friends and family and to reminisce about the year that has passed and what it brought us"," on new year s eve it is customary to gather friends and family, and to reminisce about the year that has passed and what it brought us",0
2012," often we sorely miss people who are dear to us perhaps because they are far away"," often we sorely miss people who are dear to us, perhaps because they are far away",0
2012," but sometimes one or more are missed because we shall never be with them again"," but sometimes one or more are missed, because we shall never be with them again",-2
2012," my newyear thoughts go to anybody who is left with that sorrow and that loss"," my new year thoughts go to anybody, who is left with that sorrow and that loss",-2.5
2012," to me the year 2012 has in many ways been signified by the 40 year jubilee"," to me the year 2012 has in many ways been signified by the 40 year jubilee",0
2012," on the last evening of the year i would like to offer my thanks for all the kindness shown to me throughout the year so to speak every single day"," on the last evening of the year i would like to offer my thanks for all the kindness shown to me throughout the year, so to speak every single day",2
2012," it has delighted me and warmed me more than i can say"," it has delighted me and warmed me more than i can say",0
2012," throughout the year my family has felt surrounded by warm attention and sympathy"," throughout the year my family has felt surrounded by warm attention and sympathy",1.5
2012," this came to the fore not the least when prince joachim s and princess marie s little daughter was born in january and at her christening later in the year"," this came to the fore not the least when prince joachim s and princess marie s little daughter was born in january and at her christening later in the year",0
2012," i wish everyone a happy and blessed newyear"," i wish everyone a happy and blessed new year",2
2012," god bless denmark"," god bless denmark",1.5
2013,"for most of us the holidays around christmas and newyear are a wonderful time of the year","for most of us, the holidays around christmas and new year are a wonderful time of the year",4
2013," they are festive days when we meet with family and friends relax and enjoy ourselves and take a break from everyday worries"," they are festive days when we meet with family and friends, relax and enjoy ourselves, and take a break from everyday worries",2
2013," while it is cold and dark outside with the wind sweeping around the corners of the house we are warm and comfortable with lit candles and together with people we care for"," while it is cold and dark outside with the wind sweeping around the corners of the house, we are warm and comfortable with lit candles and together with people we care for",1.66666666666667
2013," we take the time to enjoy each other s company"," we take the time to enjoy each other s company",2
2013," something we forget far too easily in our day to day lives"," something we forget far too easily in our day to day lives",-1
2013," great expectations are linked to holidays and festive occasions"," great expectations are linked to holidays and festive occasions",2.5
2013," also to the newyear s celebrations tonight"," also to the new year s celebrations tonight",0
2013," we have done the shopping and decorated our homes"," we have done the shopping and decorated our homes",0
2013," and we make a great effort to ensure that neither children nor grown ups get disappointed"," and we make a great effort to ensure that neither children nor grown ups get disappointed",0.666666666666667
2013," perhaps it is our great expectations that also cause tensions to rise during the holidays"," perhaps it is our great expectations that also cause tensions to rise during the holidays",3
2013," in many families christmas and newyear are something of a puzzle to be worked out"," in many families, christmas and new year are something of a puzzle to be worked out",0
2013," we must be fair"," we must be fair",2
2013," who spent christmas with whom last year who is going to be where this year it is not always easy to please everybody"," who spent christmas with whom last year who is going to be where this year it is not always easy to please everybody",1
2013," fortunately the problems are most often solved in a friendly manner"," fortunately, the problems are most often solved in a friendly manner",0.333333333333333
2013," but tensions may arise that are so serious that they cast a shadow over the family reunion"," but tensions may arise that are so serious that they cast a shadow over the family reunion",0
2013," however there are people who would gladly exchange their own problems for those i have just described"," however, there are people who would gladly exchange their own problems for those i have just described",-2
2013," those who find christmas and newyear particularly difficult to cope with are people who have no family at all to argue with over these matters or whose family suffers from much heavier problems that overshadow their joy"," those who find christmas and new year particularly difficult to cope with are people who have no family at all to argue with over these matters or whose family suffers from much heavier problems that overshadow their joy",-0.333333333333333
2013," tonight i want to send my warmest newyear greetings to all those who are struggling with illness or loneliness with misuse or homelessness"," tonight, i want to send my warmest new year greetings to all those who are struggling with illness or loneliness, with misuse or homelessness",-0.375
2013," i also wish to extend my greetings to the many that spend the holidays helping those people who are most in need"," i also wish to extend my greetings to the many that spend the holidays helping those people who are most in need",1.375
2013," they have experienced how much it may mean to us personally when we contribute to the happiness of others"," they have experienced how much it may mean to us personally when we contribute to the happiness of others",3
2013," their efforts are invaluable and they deserve recognition and gratitude from us all"," their efforts are invaluable and they deserve recognition and gratitude from us all",0
2013," denmark is a country with many different people"," denmark is a country with many different people",0
2013," we are young or old or somewhere in between"," we are young or old or somewhere in between",0
2013," some live in the countryside some in towns"," some live in the countryside, some in towns",0
2013," some have lived here all their lives others have arrived not so long ago"," some have lived here all their lives, others have arrived not so long ago",0
2013," but we are part of the same community and that is why we share conditions in all matters large and small for better or for worse"," but we are part of the same community and that is why we share conditions in all matters, large and small, for better or for worse",0.25
2013," we must distinguish between large and small problems"," we must distinguish between large and small problems",-2
2013," it is true that denmark is a small country but we must take care not to become a small minded country"," it is true that denmark is a small country, but we must take care not to become a small minded country",2
2013," and if we bear that in mind we will understand that we must solve our problems by bending towards each other"," and if we bear that in mind, we will understand that we must solve our problems by bending towards each other",-0.5
2013," if one branch alone has to bend it may break"," if one branch alone has to bend, it may break",-2
2013," we must not put a lid on discussions"," we must not put a lid on discussions",0
2013," we must dare take the necessary debates"," we must dare take the necessary debates",0
2013," it may be at our workplace at school or where we live"," it may be at our workplace, at school or where we live",0
2013," that is a good beginning"," that is a good beginning",3
2013," the next step is for us to listen to what others say"," the next step is for us to listen to what others say",0
2013," then we may have a discussion to make us wiser"," then we may have a discussion to make us wiser",0
2013," it requires courage to enter into a debate but also to show generosity of spirit"," it requires courage to enter into a debate but also to show generosity of spirit",1.5
2013," our modern lives give us many advantages that we would not want to do without"," our modern lives give us many advantages that we would not want to do without",1.5
2013," we enjoy a degree of freedom and prosperity unknown to previous generations"," we enjoy a degree of freedom and prosperity unknown to previous generations",2
2013," but development comes at a price"," but development comes at a price",0
2013," it is as if personal contact is being lost in our busy and preoccupied lives today"," it is as if personal contact is being lost in our busy and preoccupied lives today",0
2013," all those modern facilities meant to make life easier also make it more complicated and make increasing demands on us for what we are to achieve and perform"," all those modern facilities meant to make life easier also make it more complicated and make increasing demands on us for what we are to achieve and perform",-1
2013," we are concerned about future climate change and so we should be"," we are concerned about future climate change, and so we should be",0
2013," but sometimes we forget to enjoy a lovely day the sun and the wind and the changing seasons"," but sometimes we forget to enjoy a lovely day, the sun and the wind, and the changing seasons",1.33333333333333
2013," we are concerned about problems on the other side of the world and of course this is important"," we are concerned about problems on the other side of the world and of course this is important",0
2013," but do we have the awareness to help the family next door who we know may need it we worry over today s problems both for ourselves and for the world at large"," but do we have the awareness to help the family next door who we know may need it we worry over today s problems, both for ourselves and for the world at large",-1
2013," let us nevertheless take a look at the past"," let us nevertheless take a look at the past",0
2013," let us remember a period of time that was truly critical for our country and our society"," let us remember a period of time that was truly critical for our country and our society",0
2013," 70 years ago during the jewish newyear in october danish jews had to flee"," 70 years ago during the jewish new year in october, danish jews had to flee",0
2013," in the middle of their newyear celebrations otherwise quite normal workdays they had to break up and flee in all haste"," in the middle of their new year celebrations, otherwise quite normal workdays, they had to break up and flee in all haste",0
2013," all of a sudden families children and old people found themselves in a terrible crisis"," all of a sudden, families, children and old people found themselves in a terrible crisis",-3
2013," they were forced to make their escape across the waters of the øresund in small fishing vessels hidden away in damp and confined holds with the fear of death as their travelling companion"," they were forced to make their escape across the waters of the øresund in small fishing vessels, hidden away in damp and confined holds with the fear of death as their travelling companion",-1.66666666666667
2013," these are experiences which have never been forgotten and which make a strong impression also on all of us that have only been told about them"," these are experiences which have never been forgotten and which make a strong impression also on all of us that have only been told about them",0.5
2013," but what happened then is also something we can take pride in remembering and we must continue to cherish the memory of it"," but what happened then is also something we can take pride in remembering, and we must continue to cherish the memory of it",2
2013," it was then that denmark showed its strength as a community as men and women from all walks of life individually and spontaneously looked for solutions organising escape routes providing food and shelter without consideration for their own safety"," it was then that denmark showed its strength as a community, as men and women from all walks of life individually and spontaneously looked for solutions organising escape routes, providing food and shelter without consideration for their own safety",0.75
2013," today danes are still individuals with varying outlooks"," today, danes are still individuals with varying outlooks",0
2013," we are not all of us rooted in the same religion or culture"," we are not all of us rooted in the same religion or culture",0
2013," however as was the case 70 years ago differences must not be allowed to prevent us from helping our neighbours and fellow countrymen from person to person"," however, as was the case 70 years ago, differences must not be allowed to prevent us from helping our neighbours and fellow countrymen from person to person",0.5
2013," the danish realm of today comprises different peoples with different cultures and with their separate languages"," the danish realm of today comprises different peoples with different cultures and with their separate languages",0
2013," this we recognise and respect"," this we recognise and respect",0
2013," but we are also bound together through our long history and we must stand guard over all that we have in common and that unites us"," but we are also bound together through our long history and we must stand guard over all that we have in common and that unites us",0
2013," as the ice off greenland starts to melt new prospects open for shipping routes in waters never navigable before"," as the ice off greenland starts to melt, new prospects open for shipping routes in waters never navigable before",1
2013," at the same time new opportunities appear for tapping into the rich resources of that country to the benefit of both employment and revenue"," at the same time, new opportunities appear for tapping into the rich resources of that country to the benefit of both employment and revenue",2
2013," but this development also implies a huge responsibility for all who become involved"," but this development also implies a huge responsibility for all who become involved",1
2013," this applies to maritime safety as well as to the vulnerable natural environment of greenland"," this applies to maritime safety as well as to the vulnerable natural environment of greenland",0
2013," faroese society has already experienced part of the development which greenland society is now facing"," faroese society has already experienced part of the development which greenland society is now facing",0
